,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14
E1,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
E2,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
E3,3.0,3.0,6.0,4.0,6.0,5.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0
E4,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
E5,3.0,3.0,6.0,4.0,8.0,6.0,6.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
E6,3.0,3.0,5.0,3.0,6.0,8.0,5.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0
E7,2.0,2.0,4.0,3.0,6.0,5.0,10.0,8.0,5.0,3.0,2.0,4.0,2.0,2.0
E8,3.0,3.0,5.0,3.0,7.0,7.0,8.0,14.0,9.0,4.0,1.0,5.0,2.0,2.0
E9,1.0,2.0,2.0,2.0,3.0,4.0,5.0,9.0,12.0,4.0,3.0,5.0,3.0,3.0
E10,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,5.0,2.0,5.0,3.0,3.0
E11,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0
E12,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,5.0,2.0,6.0,3.0,3.0
E13,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0
E14,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0